factor	model_variable	condition	condition_code	mean_value	sd_value	n_trials
Scenario complexity	ppCs	Simple	1.0	0.8159778004539611	0.13173219619866144	654
Scenario complexity	ppCs	Relatively Simple	2.0	0.7658039440066416	0.12692137636161757	645
Scenario complexity	ppCs	Average	3.0	0.702230445440369	0.12059407710175143	642
Scenario complexity	ppCs	Relatively Complex	4.0	0.6294361467247045	0.11116945130696264	642
Scenario complexity	ppCs	Complex	5.0	0.526358103004181	0.08067705959606306	657
Scenario complexity	ppCo	Simple	1.0	0.7844063221519091	0.12363541795685122	654
Scenario complexity	ppCo	Relatively Simple	2.0	0.7334605228853351	0.11799512769367597	645
Scenario complexity	ppCo	Average	3.0	0.6661258820699985	0.10156421188813035	642
Scenario complexity	ppCo	Relatively Complex	4.0	0.6036066725421216	0.08961195368805401	642
Scenario complexity	ppCo	Complex	5.0	0.52325413914427	0.06964454029694418	657
ADS reliability	ppCo	Low	1.0	0.6217174778939876	0.1366661952557233	1080
ADS reliability	ppCo	Med	2.0	0.6627539294918412	0.13622324946140912	1080
ADS reliability	ppCo	High	3.0	0.7016675198615381	0.12987903057021305	1080
Previous choice accuracy	ppCo	Wrong	0.0	0.6194526447141411	0.1115524746038132	1196
Previous choice accuracy	ppCo	Right	1.0	0.6870875434983855	0.14662564712946993	2017
