participant	diagnostic	x	y	expected_direction	spearman_rho	spearman_p	n_trials
1	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9106211909149795	4.141322784133704e-47	120
2	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.6666585859060692	9.466308523220953e-17	120
3	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.6724423041813451	4.100540204650888e-17	120
4	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.8643256634316757	5.073809090140578e-37	120
5	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9124666126052959	1.277690026502236e-47	120
6	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9711543421632429	2.57535096513205e-75	120
7	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.7182017223004399	2.6377565431354884e-20	120
8	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.977618497882669	9.786223190944459e-82	120
9	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.6244714643687624	2.51201484038316e-14	120
10	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9527222069592799	6.891397305871624e-63	120
11	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.7678736557233979	1.4278050312937105e-24	120
12	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.8464641805227354	4.330470629951132e-34	120
13	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.5969137478806831	6.23651524860761e-13	120
14	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9231835023506602	7.910504441234974e-51	120
15	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9223329555454726	1.4771218832791943e-50	120
16	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.977618497882669	9.786223190944459e-82	120
17	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9114459564390708	2.4562267250864324e-47	120
18	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9104253002728457	4.684901542326483e-47	120
19	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9189307683247221	1.6754765825113123e-49	120
20	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9657108426100421	5.913995500536609e-71	120
21	Self-confidence vs scenario complexity	scenario_complexity_code	ppCs	negative	-0.9641798583607043	7.444782084400224e-70	120
