participant	subject_id	trial	block	within_block_trial	agent_reliability	agent_reliability_code	scenario_complexity	scenario_complexity_code	previous_choice_accuracy	previous_choice_accuracy_code	ppCs	ppCo
1	1	1	1	1	Low	1	Simple	1			0.7651820439066667	0.7413582628666667
1	1	2	1	2	Low	1	Relatively Complex	4	Wrong	0.0	0.5172729014	0.5132038621333334
1	1	3	1	3	Low	1	Complex	5	Wrong	0.0	0.4159263847466667	0.44382288033333334
1	1	4	1	4	Low	1	Simple	1	Wrong	0.0	0.7366443274666666	0.6646949246666666
1	1	5	1	5	Low	1	Relatively Complex	4	Wrong	0.0	0.5174015733533334	0.5123062446666666
1	1	6	1	6	Low	1	Relatively Simple	2	Right	1.0	0.6553059928266666	0.6407798279133333
1	1	7	1	7	Low	1	Complex	5	Wrong	0.0	0.39697069732	0.42242092653333335
1	1	8	1	8	Low	1	Relatively Complex	4	Wrong	0.0	0.5395614682666667	0.5284596410666667
1	1	9	1	9	Low	1	Simple	1	Right	1.0	0.7495215233333333	0.7286604078000001
1	1	10	1	10	Low	1	Relatively Complex	4	Right	1.0	0.5013548635333334	0.5007433436
1	1	11	1	11	Low	1	Simple	1	Wrong	0.0	0.7476924030666666	0.7092176038666667
1	1	12	1	12	Low	1	Relatively Complex	4	Right	1.0	0.4818812995533333	0.4832018726466667
1	1	13	1	13	Low	1	Complex	5	Right	1.0	0.40320061464	0.40624065763333334
1	1	14	1	14	Low	1	Average	3	Wrong	0.0	0.5660716406666667	0.5592860920666666
1	1	15	1	15	Low	1	Complex	5	Wrong	0.0	0.40162900253333333	0.42417977346666663
1	1	16	1	16	Low	1	Complex	5	Wrong	0.0	0.44996102598666665	0.4636578136
1	1	17	1	17	Low	1	Relatively Simple	2	Right	1.0	0.6769278919466667	0.6643197239533333
1	1	18	1	18	Low	1	Average	3	Wrong	0.0	0.6087117616666666	0.5832668998666667
1	1	19	1	19	Low	1	Average	3	Wrong	0.0	0.5986534476733333	0.5686415272666667
1	1	20	1	20	Low	1	Average	3	Wrong	0.0	0.6171682745333333	0.5789762526666666
1	1	21	1	21	Low	1	Average	3	Right	1.0	0.7136425002666668	0.6884438350666667
1	1	22	1	22	Low	1	Simple	1	Wrong	0.0	0.7588391590666667	0.6921130628
1	1	23	1	23	Low	1	Complex	5	Wrong	0.0	0.42333423645999996	0.4487234292
1	1	24	1	24	Low	1	Complex	5	Right	1.0	0.5730913398666666	0.5662649197999999
1	1	25	1	25	Low	1	Complex	5	Right	1.0	0.40300023904666665	0.4062976616466667
1	1	26	1	26	Low	1	Relatively Simple	2	Wrong	0.0	0.6871630806	0.6675245148666668
1	1	27	1	27	Low	1	Relatively Simple	2	Right	1.0	0.6506939208	0.6438607149333333
1	1	28	1	28	Low	1	Complex	5	Right	1.0	0.5730254666	0.5710447798
1	1	29	1	29	Low	1	Complex	5	Right	1.0	0.4001918611333333	0.40161894198666664
1	1	30	1	30	Low	1	Simple	1	Right	1.0	0.7349120195333333	0.7338380768666667
1	1	31	1	31	Low	1	Relatively Complex	4	Right	1.0	0.6424557848666667	0.6418994367333334
1	1	32	1	32	Low	1	Simple	1	Right	1.0	0.7305017939333333	0.7298947867333334
1	1	33	1	33	Low	1	Complex	5	Wrong	0.0	0.42565980140666665	0.43890965260000003
1	1	34	1	34	Low	1	Simple	1	Wrong	0.0	0.8421301197333334	0.7672500746666667
1	1	35	1	35	Low	1	Relatively Simple	2	Right	1.0	0.6574106444	0.6367069270666667
1	1	36	1	36	Low	1	Relatively Simple	2	Right	1.0	0.6785571731333334	0.6697443677333332
1	1	37	1	37	Low	1	Relatively Simple	2	Wrong	0.0	0.7753053858	0.7178055753333332
1	1	38	1	38	Low	1	Average	3	Right	1.0	0.59421268	0.5844878701333333
1	1	39	1	39	Low	1	Simple	1	Wrong	0.0	0.742999095	0.6889852944
1	1	40	1	40	Low	1	Simple	1	Wrong	0.0	0.8181248654666667	0.7281825466666666
1	1	41	2	1	Med	2	Simple	1	Wrong	0.0	0.8055763371333334	0.7981039118666665
1	1	42	2	2	Med	2	Relatively Complex	4	Right	1.0	0.6200182352	0.6187338425999999
1	1	43	2	3	Med	2	Complex	5	Right	1.0	0.5553290344	0.5551707048666668
1	1	44	2	4	Med	2	Simple	1	Wrong	0.0	0.819173402	0.7909621193999999
1	1	45	2	5	Med	2	Relatively Complex	4	Right	1.0	0.6208379279333333	0.6144379082666667
1	1	46	2	6	Med	2	Relatively Simple	2	Right	1.0	0.7823540497333333	0.7787326524
1	1	47	2	7	Med	2	Complex	5	Wrong	0.0	0.5493872846666666	0.5371574299333334
1	1	48	2	8	Med	2	Relatively Complex	4	Wrong	0.0	0.64124998996	0.6028314216666667
1	1	49	2	9	Med	2	Simple	1	Wrong	0.0	0.8288114856000001	0.7359320060000001
1	1	50	2	10	Med	2	Relatively Complex	4	Right	1.0	0.5972722229399999	0.5798477706666666
1	1	51	2	11	Med	2	Simple	1	Right	1.0	0.8115952309333333	0.7942444216666668
1	1	52	2	12	Med	2	Relatively Complex	4	Right	1.0	0.6586716922	0.6523998469333333
1	1	53	2	13	Med	2	Complex	5	Right	1.0	0.5615514393333333	0.5606714062
1	1	54	2	14	Med	2	Average	3	Wrong	0.0	0.6799621831999999	0.6575164031999999
1	1	55	2	15	Med	2	Complex	5	Wrong	0.0	0.5586220337	0.5413842382666667
1	1	56	2	16	Med	2	Complex	5	Wrong	0.0	0.5489075683333334	0.5331072443333333
1	1	57	2	17	Med	2	Relatively Simple	2	Wrong	0.0	0.7415965413333333	0.6667169073333333
1	1	58	2	18	Med	2	Average	3	Right	1.0	0.7110298557266667	0.6776567899333333
1	1	59	2	19	Med	2	Average	3	Right	1.0	0.6903319143333334	0.6766036985333334
