ability	source_sheet	trial	subject	value
Low ability	ppk_1	1	1	0.7019282458666667
Low ability	ppk_1	1	2	1.040940622511111
Low ability	ppk_1	1	3	0.8980411219555556
Low ability	ppk_1	1	4	0.7407594074666667
Low ability	ppk_1	1	5	0.707168460888889
Low ability	ppk_1	1	6	0.6455811254222223
Low ability	ppk_1	1	7	0.8791781953333332
Low ability	ppk_1	1	8	0.6243579028666666
Low ability	ppk_1	1	9	1.0199743902444445
Low ability	ppk_1	1	10	0.6122160266888889
Low ability	ppk_1	1	11	0.9379197783111112
Low ability	ppk_1	1	12	0.8799384593555555
Low ability	ppk_1	1	13	0.9283188866444444
Low ability	ppk_1	1	14	0.7587083965333333
Low ability	ppk_1	1	15	0.704203791
Low ability	ppk_1	1	16	0.5930305523111111
Low ability	ppk_1	1	17	0.6971298928222222
Low ability	ppk_1	1	18	0.6431386658444443
Low ability	ppk_1	1	19	0.7360748698666667
Low ability	ppk_1	1	20	0.5936092754444444
Low ability	ppk_1	1	21	0.6135031417777778
Low ability	ppk_1	1	22	0.6263030362888888
Low ability	ppk_1	1	23	0.6108356679777778
Low ability	ppk_1	1	24	0.690441975688889
Low ability	ppk_1	1	25	0.7040392857777779
Low ability	ppk_1	1	26	0.6896194790666667
Low ability	ppk_1	1	27	0.7071579326888889
Low ability	ppk_1	2	1	0.5979724885111111
Low ability	ppk_1	2	2	0.5997863508444444
Low ability	ppk_1	2	3	0.6588744304666667
Low ability	ppk_1	2	4	0.6414387784888889
Low ability	ppk_1	2	5	0.6507638263777779
Low ability	ppk_1	2	6	0.6192685111333334
Low ability	ppk_1	2	7	0.6752478424666667
Low ability	ppk_1	2	8	0.6547344151111111
Low ability	ppk_1	2	9	0.6058782027999999
Low ability	ppk_1	2	10	0.7997787517777777
Low ability	ppk_1	2	11	0.6557807078444444
Low ability	ppk_1	2	12	0.645992754
Low ability	ppk_1	2	13	0.6379389785777778
Low ability	ppk_1	2	14	0.6438569746
Low ability	ppk_1	2	15	0.6370330290888889
Low ability	ppk_1	2	16	0.6142270008666667
Low ability	ppk_1	2	17	0.6464418813999999
Low ability	ppk_1	2	18	0.6024697317777777
Low ability	ppk_1	2	19	0.6342416632222222
Low ability	ppk_1	2	20	0.5933699365333335
Low ability	ppk_1	2	21	0.6168413883111111
Low ability	ppk_1	2	22	0.6205568812222222
Low ability	ppk_1	2	23	0.6233671478444444
Low ability	ppk_1	2	24	0.6473880245555556
Low ability	ppk_1	2	25	0.6392591080888889
Low ability	ppk_1	2	26	0.6522375194
Low ability	ppk_1	2	27	0.6357090987333333
Low ability	ppk_1	3	1	0.5395032887333334
Low ability	ppk_1	3	2	0.5274410104
Low ability	ppk_1	3	3	0.4310885193333333
Low ability	ppk_1	3	4	0.5619809309333333
Low ability	ppk_1	3	5	0.5777592685999999
Low ability	ppk_1	3	6	0.5490157400222223
Low ability	ppk_1	3	7	0.5889662822444444
Low ability	ppk_1	3	8	0.5971951235777778
Low ability	ppk_1	3	9	0.5156905641333334
Low ability	ppk_1	3	10	0.7997234268888889
Low ability	ppk_1	3	11	0.4292877761555555
Low ability	ppk_1	3	12	0.40842673691111114
Low ability	ppk_1	3	13	0.5778529685777779
Low ability	ppk_1	3	14	0.5505599868222223
Low ability	ppk_1	3	15	0.40689966173333336
Low ability	ppk_1	3	16	0.5747155318888888
Low ability	ppk_1	3	17	0.5759369822888889
Low ability	ppk_1	3	18	0.5831064860666667
Low ability	ppk_1	3	19	0.4053706446222223
Low ability	ppk_1	3	20	0.5166564607555556
Low ability	ppk_1	3	21	0.5710283043111112
Low ability	ppk_1	3	22	0.5743299812222222
Low ability	ppk_1	3	23	0.5661672270222221
Low ability	ppk_1	3	24	0.5993589818888889
Low ability	ppk_1	3	25	0.41730117506666664
Low ability	ppk_1	3	26	0.5852663794
Low ability	ppk_1	3	27	0.5464075800666667
Low ability	ppk_1	4	1	0.6780781250888889
Low ability	ppk_1	4	2	0.6920883936666665
Low ability	ppk_1	4	3	0.49894209959999997
Low ability	ppk_1	4	4	0.6873985765777778
Low ability	ppk_1	4	5	0.5103099176222222
Low ability	ppk_1	4	6	0.4787299596888888
Low ability	ppk_1	4	7	0.5188369172222221
Low ability	ppk_1	4	8	0.5030556925777777
Low ability	ppk_1	4	9	0.4581837624444445
Low ability	ppk_1	4	10	0.8754795931111111
Low ability	ppk_1	4	11	0.49161646762222216
Low ability	ppk_1	4	12	0.4414909551111112
Low ability	ppk_1	4	13	0.7216886119333333
Low ability	ppk_1	4	14	0.6730808178444446
Low ability	ppk_1	4	15	0.44339302648888895
Low ability	ppk_1	4	16	0.6726305473555555
Low ability	ppk_1	4	17	0.49399913562222225
Low ability	ppk_1	4	18	0.5403702029555556
Low ability	ppk_1	4	19	0.4676812980888889
Low ability	ppk_1	4	20	0.4344745567555555
Low ability	ppk_1	4	21	0.6957647356444445
Low ability	ppk_1	4	22	0.4632251721555556
Low ability	ppk_1	4	23	0.4606138690666666
Low ability	ppk_1	4	24	0.5205248600222222
Low ability	ppk_1	4	25	0.4599803888444444
Low ability	ppk_1	4	26	0.4975050202
Low ability	ppk_1	4	27	0.46669439013333336
Low ability	ppk_1	5	1	0.7073459317999999
Low ability	ppk_1	5	2	0.7248394370888889
Low ability	ppk_1	5	3	0.6766902455333333
Low ability	ppk_1	5	4	0.6878952299333334
Low ability	ppk_1	5	5	0.47355628506666664
Low ability	ppk_1	5	6	0.4354968006222222
Low ability	ppk_1	5	7	0.47736462062222224
Low ability	ppk_1	5	8	0.4323589338444444
Low ability	ppk_1	5	9	0.4307550260222223
Low ability	ppk_1	5	10	0.7520836419777778
Low ability	ppk_1	5	11	0.6636572331999999
Low ability	ppk_1	5	12	0.41698842380000006
Low ability	ppk_1	5	13	0.7464298987555557
Low ability	ppk_1	5	14	0.6919230897333334
Low ability	ppk_1	5	15	0.6138688761777779
Low ability	ppk_1	5	16	0.6598307190888889
Low ability	ppk_1	5	17	0.44086319793333334
Low ability	ppk_1	5	18	0.49333639840000004
Low ability	ppk_1	5	19	0.4392245367333334
Low ability	ppk_1	5	20	0.37452959451111106
Low ability	ppk_1	5	21	0.6684829576444445
Low ability	ppk_1	5	22	0.39960633511111116
Low ability	ppk_1	5	23	0.5614642463111111
Low ability	ppk_1	5	24	0.5910891616888888
Low ability	ppk_1	5	25	0.6241996787555556
Low ability	ppk_1	5	26	0.5654095879777777
Low ability	ppk_1	5	27	0.5653919407555557
Low ability	ppk_1	6	1	0.7594598749111111
Low ability	ppk_1	6	2	0.7564544101999999
Low ability	ppk_1	6	3	0.7273323042888888
Low ability	ppk_1	6	4	0.7284789317111112
Low ability	ppk_1	6	5	0.47725987097777783
Low ability	ppk_1	6	6	0.4321324742444444
Low ability	ppk_1	6	7	0.4727898366222223
Low ability	ppk_1	6	8	0.4183825678222222
Low ability	ppk_1	6	9	0.4217912562444444
