trial	p_trust	true_label
1	0.8439361450	1
2	0.8496782040	1
3	0.8306459190	0
4	0.8110324060	0
5	0.8393326210	1
6	0.8423887330	1
7	0.8393817260	1
8	0.8312973230	0
9	0.8491006960	1
10	0.8275127210	0
11	0.8434745190	1
12	0.8427506550	1
13	0.8341734520	0
14	0.8447653430	1
15	0.8482212290	1
16	0.8378665360	1
17	0.8363379720	1
18	0.8425026640	1
19	0.8265242840	0
20	0.8441128560	1
21	0.8447404540	1
22	0.8224747890	0
23	0.8147629730	0
24	0.8379215030	1
25	0.8207439090	0
26	0.8442267550	1
27	0.8119472200	0
28	0.8192086990	0
29	0.8311521310	0
30	0.8344116810	0
31	0.8361593510	1
32	0.8252166730	0
33	0.8283005020	0
34	0.8493745950	1
35	0.8319983190	0
36	0.8508035320	1
37	0.8489344780	1
38	0.8247016380	0
39	0.8494330490	1
40	0.8508327070	1
41	0.8438492600	1
42	0.8507698320	1
43	0.8479679450	1
44	0.8385242130	1
45	0.8411339450	1
46	0.8420494610	1
47	0.8405387800	1
48	0.8507639150	1
49	0.8524765730	1
50	0.8371337930	1
51	0.8238049470	0
52	0.8437422830	1
53	0.8452895130	1
54	0.8453613600	1
55	0.8478290270	1
56	0.8368825100	1
57	0.8372333090	1
58	0.8403050400	1
59	0.8282531710	0
60	0.8463497280	1
61	0.8448319600	1
62	0.8399836570	1
63	0.8372485950	1
64	0.8394435550	1
65	0.8439763310	1
66	0.8436110540	1
67	0.8372998840	1
68	0.8356004790	1
69	0.8319514200	0
70	0.8557048570	1
71	0.8364272610	1
72	0.8369505750	1
73	0.8551498070	1
74	0.8531927530	1
75	0.8481636830	1
76	0.8538415920	1
77	0.8483446520	1
78	0.8448494430	1
79	0.8523883850	1
80	0.8543620440	1
81	0.8425065510	1
82	0.8502948310	1
83	0.8502374230	1
84	0.8396079230	1
85	0.8413537960	1
86	0.8388370750	1
87	0.8421444150	1
88	0.8484463850	1
89	0.8520906960	1
90	0.8339629760	1
91	0.8464036270	1
92	0.8402282970	1
93	0.8467069510	1
94	0.8449055010	1
95	0.8493239650	1
96	0.8389734710	1
97	0.8355944430	1
98	0.8392014860	1
99	0.8497386420	1
100	0.8508912810	1
101	0.8448903510	1
102	0.8372095040	1
103	0.8372677710	1
104	0.8407377160	1
105	0.8465936950	1
106	0.8461245770	1
107	0.8380317150	1
108	0.8346968430	1
109	0.8545184130	1
110	0.8529180670	1
111	0.8386001390	1
112	0.8404956840	1
113	0.8477630430	1
114	0.8547755660	1
115	0.8498401410	1
116	0.8497299430	1
117	0.8484733210	1
118	0.8437286870	1
119	0.8495041290	1
120	0.8562356570	1
