participant	method	accuracy	balanced_accuracy	sensitivity_trust	specificity_distrust	precision	f1
1	personalized	0.8166666666666667	0.6666666666666666	1.0	0.3333333333333333	0.7981651376146789	0.8877551020408163
1	fixed_0.5	0.725	0.5	1.0	0.0	0.725	0.8405797101449275
1	pooled_youden_threshold	0.7416666666666667	0.5303030303030303	1.0	0.06060606060606061	0.7372881355932204	0.848780487804878
2	personalized	0.925	0.8548387096774194	1.0	0.7096774193548387	0.9081632653061225	0.9518716577540107
2	fixed_0.5	0.7416666666666667	0.5	1.0	0.0	0.7416666666666667	0.8516746411483254
2	pooled_youden_threshold	0.7416666666666667	0.5	1.0	0.0	0.7416666666666667	0.8516746411483254
3	personalized	0.9	0.8421052631578947	1.0	0.6842105263157895	0.8723404255319149	0.9318181818181818
3	fixed_0.5	0.6833333333333333	0.5	1.0	0.0	0.6833333333333333	0.8118811881188119
3	pooled_youden_threshold	0.8916666666666667	0.8289473684210527	1.0	0.6578947368421053	0.8631578947368421	0.9265536723163842
4	personalized	0.9	0.8528015194681862	0.9876543209876543	0.717948717948718	0.8791208791208791	0.9302325581395349
4	fixed_0.5	0.675	0.5	1.0	0.0	0.675	0.8059701492537313
4	pooled_youden_threshold	0.5666666666666667	0.6790123456790124	0.35802469135802467	1.0	1.0	0.5272727272727272
5	personalized	0.9083333333333333	0.7962962962962963	1.0	0.5925925925925926	0.8942307692307693	0.9441624365482234
5	fixed_0.5	0.775	0.5	1.0	0.0	0.775	0.8732394366197183
5	pooled_youden_threshold	0.775	0.7628434886499402	0.7849462365591398	0.7407407407407407	0.9125	0.8439306358381503
6	personalized	0.9666666666666667	0.5	1.0	0.0	0.9666666666666667	0.9830508474576272
6	fixed_0.5	0.9666666666666667	0.5	1.0	0.0	0.9666666666666667	0.9830508474576272
6	pooled_youden_threshold	0.9666666666666667	0.5	1.0	0.0	0.9666666666666667	0.9830508474576272
7	personalized	0.9333333333333333	0.8620689655172413	1.0	0.7241379310344828	0.9191919191919192	0.9578947368421052
7	fixed_0.5	0.7583333333333333	0.5	1.0	0.0	0.7583333333333333	0.8625592417061612
7	pooled_youden_threshold	0.38333333333333336	0.5934065934065934	0.18681318681318682	1.0	1.0	0.3148148148148148
8	personalized	0.9666666666666667	0.4915254237288136	0.9830508474576272	0.0	0.9830508474576272	0.9830508474576272
8	fixed_0.5	0.9833333333333333	0.5	1.0	0.0	0.9833333333333333	0.9915966386554622
8	pooled_youden_threshold	0.9833333333333333	0.5	1.0	0.0	0.9833333333333333	0.9915966386554622
9	personalized	0.9416666666666667	0.9049865229110512	0.9528301886792453	0.8571428571428571	0.9805825242718447	0.9665071770334929
9	fixed_0.5	0.8833333333333333	0.5	1.0	0.0	0.8833333333333333	0.9380530973451328
9	pooled_youden_threshold	0.8833333333333333	0.5	1.0	0.0	0.8833333333333333	0.9380530973451328
10	personalized	0.8916666666666667	0.5337886412652768	0.9906542056074766	0.07692307692307693	0.8983050847457628	0.9422222222222222
10	fixed_0.5	0.8916666666666667	0.5	1.0	0.0	0.8916666666666667	0.9427312775330396
10	pooled_youden_threshold	0.8916666666666667	0.5	1.0	0.0	0.8916666666666667	0.9427312775330396
11	personalized	0.9666666666666667	0.8666666666666667	1.0	0.7333333333333333	0.963302752293578	0.9813084112149533
11	fixed_0.5	0.875	0.5	1.0	0.0	0.875	0.9333333333333333
11	pooled_youden_threshold	0.875	0.5	1.0	0.0	0.875	0.9333333333333333
12	personalized	0.9666666666666667	0.935483870967742	1.0	0.8709677419354839	0.956989247311828	0.978021978021978
12	fixed_0.5	0.7416666666666667	0.5	1.0	0.0	0.7416666666666667	0.8516746411483254
12	pooled_youden_threshold	0.9583333333333334	0.9193548387096775	1.0	0.8387096774193549	0.9468085106382979	0.9726775956284153
13	personalized	0.925	0.8846153846153846	1.0	0.7692307692307693	0.9	0.9473684210526315
13	fixed_0.5	0.675	0.5	1.0	0.0	0.675	0.8059701492537313
13	pooled_youden_threshold	0.8166666666666667	0.8509021842355176	0.7530864197530864	0.9487179487179487	0.9682539682539683	0.8472222222222222
14	personalized	0.95	0.7692307692307692	1.0	0.5384615384615384	0.9469026548672567	0.9727272727272728
14	fixed_0.5	0.8916666666666667	0.5	1.0	0.0	0.8916666666666667	0.9427312775330396
14	pooled_youden_threshold	0.8916666666666667	0.5	1.0	0.0	0.8916666666666667	0.9427312775330396
15	personalized	0.9083333333333333	0.75	1.0	0.5	0.8990825688073395	0.9468599033816425
15	fixed_0.5	0.8166666666666667	0.5	1.0	0.0	0.8166666666666667	0.8990825688073395
15	pooled_youden_threshold	0.9	0.7272727272727273	1.0	0.45454545454545453	0.8909090909090909	0.9423076923076923
16	personalized	0.9583333333333334	0.6428571428571428	1.0	0.2857142857142857	0.9576271186440678	0.9783549783549783
16	fixed_0.5	0.9416666666666667	0.5	1.0	0.0	0.9416666666666667	0.9699570815450643
16	pooled_youden_threshold	0.8833333333333333	0.6030341340075853	0.9203539823008849	0.2857142857142857	0.9541284403669725	0.9369369369369369
17	personalized	0.875	0.7727272727272727	1.0	0.5454545454545454	0.8529411764705882	0.9206349206349206
17	fixed_0.5	0.725	0.5	1.0	0.0	0.725	0.8405797101449275
17	pooled_youden_threshold	0.625	0.7413793103448276	0.4827586206896552	1.0	1.0	0.6511627906976745
18	personalized	0.9	0.7557149260421336	0.9896907216494846	0.5217391304347826	0.897196261682243	0.9411764705882353
18	fixed_0.5	0.8083333333333333	0.5	1.0	0.0	0.8083333333333333	0.8940092165898618
18	pooled_youden_threshold	0.5083333333333333	0.662707306140744	0.41237113402061853	0.9130434782608695	0.9523809523809523	0.5755395683453237
