panel	condition	original_ptrust_mean	original_n	condition_code	panel_title	validation_ptrust_mean	validation_n	difference
1	Low	0.7990403976579945	1107	1	ADS's task reliability	0.7984409659567901	1080	-0.000599431701204356
1	Med	0.8123450122124661	1107	2	ADS's task reliability	0.8119051908080247	1080	-0.0004398214044414317
1	High	0.8263446409896116	1107	3	ADS's task reliability	0.8252218054444445	1080	-0.0011228355451671224
2	Simple	0.8487274241069959	243	1	Driving scenario complexity	0.8518384090316004	654	0.0031109849246044874
2	Relatively Simple	0.8352192129337449	243	2	Driving scenario complexity	0.835543185367442	645	0.00032397243369708395
2	Average	0.8163170344189301	243	3	Driving scenario complexity	0.8133081310415369	642	-0.003008903377393235
2	Relatively Complex	0.7963685067658437	243	4	Driving scenario complexity	0.7924712622866044	642	-0.003897244479239337
2	Complex	0.7662512398798355	243	5	Driving scenario complexity	0.7663247406402841	657	7.350076044865261e-05
3	Wrong	0.7969879723394999	1000	0	Previous choice accuracy	0.801153993145485	1196	0.004166020805985049
3	Right	0.8193288623449616	2213	1	Previous choice accuracy	0.8181219112549991	2017	-0.0012069510899624936
