subject	V_WAIC	V_LOO	U_WAIC	U_LOO
1	97.48101822	97.43412907	95.64467168	95.64090734
2	102.366767	102.3462049	103.3362565	103.3331044
3	121.8196327	121.7448211	122.69115	122.6902506
4	140.4450784	140.4033853	145.8203476	145.8190819
5	130.8123139	130.705512	132.0547813	132.0484016
6	99.67796047	99.59834245	99.50839097	99.50527651
7	146.0652761	145.9722188	147.8387068	147.8342122
8	70.45194968	70.44264277	69.16547801	69.16658812
9	109.5483207	109.5189997	110.2000819	110.196181
10	64.8262696	64.8291684	66.13639988	66.1356908
11	49.36592512	49.34562985	50.03001655	50.0274865
12	115.5981387	115.5239653	118.9198712	118.917308
13	132.0335208	131.9816097	133.0846591	133.0781462
14	67.97915601	67.89520851	69.63473905	69.63204289
15	104.164389	104.1231751	107.0687918	107.0666009
16	105.1919545	105.1742532	105.6226403	105.6193307
17	133.6525304	133.6181335	137.3793713	137.3753798
18	141.390947	141.3309011	140.7893586	140.7863591
19	123.949136	123.9181009	130.0038035	129.9967228
20	128.1513039	128.1633903	131.7049412	131.6996558
21	129.620684	129.6277137	130.5310232	130.530491
22	128.9746259	128.9710482	133.5602717	133.5623267
23	133.5036423	133.5009403	136.2201364	136.2222779
24	142.4037534	142.3805503	143.8763439	143.8736063
25	121.7377166	121.702093	123.1629019	123.1605948
26	141.3346799	141.308875	146.5993826	146.5999507
27	135.2895495	135.2633878	140.0535428	140.0584378
